Deutsche Bank,DB,svg
Commerzbank,CB,svg
HypoVereinsbank (UniCredit Bank),HVB,svg
Postbank,PB,png
ING Bank,ING,svg
Deutsche Kreditbank (DKB),DKB,svg
Targobank,TB,jpeg
Norisbank,NB,jpeg
Consorsbank,COB,svg
Comdirect,CD,jpeg
Sparkasse,SK,jpeg
Volksbank,VB,png
Raiffeisenbank,RB,jpeg
Sparda-Bank,SB,png
PSD Bank,PSD,jpeg
BBBank,BBB,jpeg
N26,N26,jpeg
Bunq,BQ,svg
Vivid Money,VM,png
Tomorrow,TM,svg
Revolut,RV,png
Santander Bank,STB,png
Creditplus Bank,CPB,jpeg
Barclays,BC,jpeg
Fidor Bank,FB,jpeg
GLS Bank,GLS,jpeg
SozialBank,SOB,jpeg
BW Bank,BW,png
DAB BNP Paribas,DAB,svg
Trade Republic,TR,jpeg
Scalable Capital,SC,jpeg
flatex,FE,jpeg
DEGIRO,DG,jpeg
Maxblue,MB,jpeg
eToro,ET,jpeg
Onvista Bank,OB,jpeg
Smartbroker,SMB,jpeg
JustTrade,JT,jpeg
S Broker,SBR,jpeg
1822direkt,1D,svg
Interactive Brokers,IB,jpeg
Trading 212,T212,jpeg
TradeZero,TZ,png
IC Markets,ICM,jpeg
TradeStation,TS,jpeg
Swissquote,SQ,jpeg
CMC Markets,CMC,jpeg
Pepperstone,PS,png
Plus500,P5,png
XTB,XTB,jpeg
Saxo,SA,png
MEXEM,MEX,jpeg
Fusion Markets,FM,jpeg
Global Prime,GP,png
